번호,나라,도시명,영문표기,등록일,상세페이지 링크
152,중국,라싸,Lhasa(拉薩),2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=142&frommain=1&fm=y
153,중국,베이징,Beijing(北京),2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=152&frommain=1&fm=y
154,중국,상하이,Shanghai(上海),2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=148&frommain=1&fm=y
155,중국,션전,Shenzhen,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=147&frommain=1&fm=y
156,중국,청두,Chengdu(成都),2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=145&frommain=1&fm=y
157,중국,홍콩,Hong Kong(香港),2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=144&frommain=1&fm=y
158,체코,프라하,Praha(Prague),2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=157&frommain=1&fm=y
159,칠레,산티아고,Santiago,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=88&frommain=1&fm=y
160,캐나다,몬트리올,Montreal,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=106&frommain=1&fm=y
161,캐나다,밴쿠버,Vancouver,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=103&frommain=1&fm=y
162,캐나다,오타와,Otawwa,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=104&frommain=1&fm=y
163,캐나다,토론토,Toronto,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=101&frommain=1&fm=y
164,케냐,나이로비,Nairobi,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=78&frommain=1&fm=y
165,쿠바,아바나(하바나),La habana,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=99&frommain=1&fm=y
166,터키,이스탄불,Istanbul,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=138&frommain=1&fm=y
167,폴란드,바르샤바,Warsawa,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=158&frommain=1&fm=y
168,프랑스,렌느,Rennes,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=165&frommain=1&fm=y
169,프랑스,마르세유,Marseille,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=171&frommain=1&fm=y
170,프랑스,소피아 앙티폴리스,Sophia Antipolis,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=168&frommain=1&fm=y
171,프랑스,스트라스부르,Strasbourg,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=169&frommain=1&fm=y
172,프랑스,파리,Paris,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=170&frommain=1&fm=y
173,핀란드,오울루,Oulu,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=160&frommain=1&fm=y
174,핀란드,헬싱키,Helsinki,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=163&frommain=1&fm=y
175,필리핀,마닐라,Manila,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=136&frommain=1&fm=y
176,헝가리,부다페스트,Budapest,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=172&frommain=1&fm=y
177,말레이시아,푸트라자야,Putrajaya,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=542&frommain=1&fm=y
178,미국,뉴욕,New york,2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=135&frommain=1&fm=y
179,중국,난징,Nanjing(南京),2008-12-01,http://ubin.krihs.re.kr/ubin/wurban/city_info_intro.php?no=544&frommain=1&fm=y
